Acrylamide Conc. %,Bis-acrylamide conc %,Photo-initiator conc. %,Layer Height. (micron),Bottom Layer exposure time (s),Exposure time (s),Frequency (Hz),Storage modulus (Pa),Loss modulus (Pa)
10,0.3,1.5,90,50,6,0.063095748,3311.903809,225.0398865
10,0.3,1.5,90,50,6,0.100000001,3391.789795,215.6368408
10,0.3,1.5,90,50,6,0.158489317,3454.841064,201.3287964
10,0.3,1.5,90,50,6,0.251188636,3511.387451,190.5483246
10,0.3,1.5,90,50,6,0.398107171,3562.37793,184.2949371
10,0.3,1.5,90,50,6,0.630957365,3611.392822,180.6262054
10,0.3,1.5,90,50,6,1,3658.072998,181.9775848
10,0.3,1.5,90,50,6,1.584893227,3702.298096,190.0813293
10,0.3,1.5,90,50,6,2.511886358,3738.254639,206.8885651
10,0.3,1.5,90,50,6,3.981071472,3737.100342,230.6080475
10,0.3,1.5,90,50,6,6.309572697,3577.209473,302.3852844
10,0.3,1.5,90,50,6,10,3979.758301,377.4207764
10,0.3,1.5,150,50,6,0.01,792.6945801,222.0772552
10,0.3,1.5,150,50,6,0.015848933,1115.900391,210.6776581
10,0.3,1.5,150,50,6,0.025118863,1277.691284,201.4523468
10,0.3,1.5,150,50,6,0.039810721,1379.997925,192.31633
10,0.3,1.5,150,50,6,0.063095748,1459.113037,186.0162659
10,0.3,1.5,150,50,6,0.100000001,1524.792847,178.9026489
